City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,iqaluit,63.7506,-68.5145,5.39,86,64,0.89,CA,1723097210
114,antalaha,-14.9003,50.2788,24.15,59,69,3.42,MG,1723097211
115,as sulayyil,20.4607,45.5779,35.14,21,63,6.19,SA,1723097212
116,margaret river,-33.95,115.0667,16.35,63,89,6.45,AU,1723097213
117,kone,-21.0595,164.8658,20.85,67,95,2.09,NC,1723097214
118,bethel,41.3712,-73.414,18.11,94,100,0.96,US,1723097216
119,berezovyy,51.6667,135.7,22.14,72,99,3.03,RU,1723097217
120,kill devil hills,36.0307,-75.676,26.1,97,100,3.09,US,1723097219
121,hafar al-batin,28.4328,45.9708,39.32,8,0,4.12,SA,1723097220
122,invercargill,-46.4,168.35,8.34,86,74,2.24,NZ,1723097221
123,usogorsk,63.4106,48.6872,18.57,42,2,3.04,RU,1723097223
124,patnanungan,14.7833,122.1833,31.19,69,78,8.7,PH,1723097224
125,hasaki,35.7333,140.8333,30.22,76,18,3.75,JP,1723097225
126,laguna,38.421,-121.4238,27.32,42,0,4.12,US,1723097226
127,fale old settlement,-9.3852,-171.2468,28.22,74,21,9.2,TK,1723097228
128,kiffa,16.6166,-11.4045,29.45,64,88,7.32,MR,1723097230
129,carnarvon,-24.8667,113.6333,21.26,57,2,6.48,AU,1723097231
130,dhidhdhoo,6.8833,73.1,27.92,76,65,6.26,MV,1723097232
131,ulaangom,49.9811,92.0667,26.52,28,0,3.69,MN,1723097233
132,karaton,-6.3424,106.1045,30.9,55,89,1.64,ID,1723097234
133,sitka,57.0531,-135.33,15.94,82,20,0.0,US,1723097236
134,tromso,69.6496,18.957,19.01,59,0,0.0,NO,1723097237
135,buritizeiro,-17.3511,-44.9622,17.82,75,3,0.25,BR,1723097238
136,saipan,15.1355,145.701,32.39,70,40,3.09,MP,1723097239
137,kodiak,57.79,-152.4072,12.73,94,100,0.0,US,1723097240
138,batticaloa,7.7102,81.6924,31.56,60,48,3.55,LK,1723097241
139,chiautla de tapia,18.2833,-98.6,19.6,98,96,1.9,MX,1723097243
140,egilsstadir,65.2653,-14.3948,8.32,94,100,2.66,IS,1723097244
141,codrington,-38.2667,141.9667,13.51,65,100,9.32,AU,1723097245
142,hagere hiywet,8.9833,37.85,18.14,81,33,0.99,ET,1723097246
143,saint-jean-de-monts,46.7833,-2.0667,17.75,73,50,1.54,FR,1723097247
144,port mathurin,-19.6833,63.4167,22.3,75,16,6.04,MU,1723097248
145,sinabang,2.4803,96.3801,27.07,81,100,2.37,ID,1723097250
